"id","districtCode","districtName","created_at","updated_at"
"1","70","ABIM","2021-12-31 16:09:59","2022-01-14 05:37:36"
"2","40","ADJUMANI","2021-12-31 16:10:00","2022-01-14 05:37:36"
"3","111","AGAGO","2021-12-31 16:10:00","2022-01-14 05:37:36"
"4","88","ALEBTONG","2021-12-31 16:10:00","2022-01-14 05:37:36"
"5","57","AMOLATAR","2021-12-31 16:10:00","2022-01-14 05:37:36"
"6","81","AMUDAT","2021-12-31 16:10:00","2022-01-14 05:37:36"
"7","58","AMURIA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"8","71","AMURU","2021-12-31 16:10:00","2022-01-14 05:37:36"
"9","1","APAC","2021-12-31 16:10:00","2022-01-14 05:37:36"
"10","2","ARUA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"11","72","BUDAKA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"12","78","BUDUDA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"13","41","BUGIRI","2021-12-31 16:10:00","2022-01-14 05:37:36"
"14","123","BUGWERI","2021-12-31 16:10:00","2022-01-14 05:37:36"
"15","109","BUHWEJU","2021-12-31 16:10:00","2022-01-14 05:37:36"
"16","82","BUIKWE","2021-12-31 16:10:00","2022-01-14 05:37:36"
"17","79","BUKEDEA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"18","98","BUKOMANSIMBI","2021-12-31 16:10:00","2022-01-14 05:37:36"
"19","59","BUKWO","2021-12-31 16:10:00","2022-01-14 05:37:36"
"20","89","BULAMBULI","2021-12-31 16:10:00","2022-01-14 05:37:36"
"21","73","BULIISA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"22","3","BUNDIBUGYO","2021-12-31 16:10:00","2022-01-14 05:37:36"
"23","117","BUNYANGABU","2021-12-31 16:10:00","2022-01-14 05:37:36"
"24","4","BUSHENYI","2021-12-31 16:10:00","2022-01-14 05:37:36"
"25","42","BUSIA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"26","60","BUTALEJA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"27","99","BUTAMBALA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"28","118","BUTEBO","2021-12-31 16:10:00","2022-01-14 05:37:36"
"29","90","BUVUMA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"30","83","BUYENDE","2021-12-31 16:10:00","2022-01-14 05:37:36"
"31","74","DOKOLO","2021-12-31 16:10:00","2022-01-14 05:37:36"
"32","91","GOMBA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"33","5","GULU","2021-12-31 16:10:00","2022-01-14 05:37:36"
"34","6","HOIMA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"35","61","IBANDA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"36","7","IGANGA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"37","62","ISINGIRO","2021-12-31 16:10:00","2022-01-14 05:37:36"
"38","8","JINJA","2021-12-31 16:10:00","2022-01-14 05:37:36"
"39","63","KAABONG","2021-12-31 16:10:00","2022-01-14 05:37:36"
"40","9","KABALE","2021-12-31 16:10:01","2022-01-14 05:37:36"
"41","10","KABAROLE","2021-12-31 16:10:01","2022-01-14 05:37:36"
"42","54","KABERAMAIDO","2021-12-31 16:10:01","2022-01-14 05:37:36"
"43","113","KAGADI","2021-12-31 16:10:01","2022-01-14 05:37:36"
"44","114","KAKUMIRO","2021-12-31 16:10:01","2022-01-14 05:37:36"
"45","129","KALAKI","2021-12-31 16:10:01","2022-01-14 05:37:36"
"46","11","KALANGALA","2021-12-31 16:10:01","2022-01-14 05:37:36"
"47","64","KALIRO","2021-12-31 16:10:01","2022-01-14 05:37:36"
"48","100","KALUNGU","2021-12-31 16:10:01","2022-01-14 05:37:36"
"49","12","KAMPALA","2021-12-31 16:10:01","2022-01-14 05:37:36"
"50","13","KAMULI","2021-12-31 16:10:01","2022-01-14 05:37:36"
"51","46","KAMWENGE","2021-12-31 16:10:01","2022-01-14 05:37:36"
"52","55","KANUNGU","2021-12-31 16:10:01","2022-01-14 05:37:36"
"53","14","KAPCHORWA","2021-12-31 16:10:01","2022-01-14 05:37:36"
"54","124","KAPELEBYONG","2021-12-31 16:10:01","2022-01-14 05:37:36"
"55","130","KARENGA","2021-12-31 16:10:01","2022-01-14 05:37:36"
"56","15","KASESE","2021-12-31 16:10:01","2022-01-14 05:37:36"
"57","125","KASSANDA","2021-12-31 16:10:01","2022-01-14 05:37:36"
"58","43","KATAKWI","2021-12-31 16:10:01","2022-01-14 05:37:36"
"59","47","KAYUNGA","2021-12-31 16:10:01","2022-01-14 05:37:36"
"60","131","KAZO","2021-12-31 16:10:01","2022-01-14 05:37:36"
"61","16","KIBAALE","2021-12-31 16:10:01","2022-01-14 05:37:36"
"62","17","KIBOGA","2021-12-31 16:10:01","2022-01-14 05:37:36"
"63","102","KIBUKU","2021-12-31 16:10:01","2022-01-14 05:37:36"
"64","126","KIKUUBE","2021-12-31 16:10:01","2022-01-14 05:37:36"
"65","65","KIRUHURA","2021-12-31 16:10:01","2022-01-14 05:37:36"
"66","92","KIRYANDONGO","2021-12-31 16:10:01","2022-01-14 05:37:36"
"67","18","KISORO","2021-12-31 16:10:01","2022-01-14 05:37:36"
"68","132","KITAGWENDA","2021-12-31 16:10:01","2022-01-14 05:37:36"
"69","19","KITGUM","2021-12-31 16:10:01","2022-01-14 05:37:36"
"70","66","KOBOKO","2021-12-31 16:10:01","2022-01-14 05:37:36"
"71","103","KOLE","2021-12-31 16:10:02","2022-01-14 05:37:36"
"72","20","KOTIDO","2021-12-31 16:10:02","2022-01-14 05:37:36"
"73","21","KUMI","2021-12-31 16:10:02","2022-01-14 05:37:36"
"74","127","KWANIA","2021-12-31 16:10:02","2022-01-14 05:37:36"
"75","104","KWEEN","2021-12-31 16:10:02","2022-01-14 05:37:36"
"76","93","KYANKWANZI","2021-12-31 16:10:02","2022-01-14 05:37:36"
